Date,Oil,Gold
02-01-2015,52.69,26770
05-01-2015,50.04,26950
06-01-2015,47.93,27370
07-01-2015,48.65,27177
08-01-2015,48.79,26852
09-01-2015,48.36,26790
12-01-2015,46.07,26960
13-01-2015,45.89,27095
14-01-2015,48.48,27171
15-01-2015,46.25,27455
16-01-2015,48.69,27725
20-01-2015,46.39,28045
21-01-2015,47.78,27993
22-01-2015,46.31,28054
23-01-2015,45.59,27875
26-01-2015,45.15,27895
27-01-2015,46.23,27926
28-01-2015,44.45,27798
29-01-2015,44.53,27545
30-01-2015,48.24,27936
02-02-2015,49.57,27790
03-02-2015,53.05,27460
04-02-2015,48.45,27720
05-02-2015,50.48,27281
06-02-2015,51.69,26766
09-02-2015,52.86,26823
10-02-2015,50.02,26860
11-02-2015,48.84,26676
12-02-2015,51.21,26553
13-02-2015,52.78,26730
17-02-2015,53.53,26205
18-02-2015,52.14,26097
19-02-2015,51.16,26300
20-02-2015,50.34,26280
23-02-2015,49.45,26207
24-02-2015,49.28,26050
25-02-2015,50.99,26178
26-02-2015,48.17,26219
27-02-2015,49.76,26279
02-03-2015,49.59,26538
03-03-2015,50.52,26407
04-03-2015,51.53,26527
05-03-2015,50.76,26545
06-03-2015,49.61,26158
09-03-2015,50,26023
10-03-2015,48.29,25898
11-03-2015,48.17,25729
12-03-2015,47.05,25600
13-03-2015,44.84,25837
16-03-2015,43.88,25740
17-03-2015,43.46,25603
18-03-2015,44.66,25627
19-03-2015,43.96,25951
20-03-2015,45.72,26185
23-03-2015,47.45,26175
24-03-2015,47.51,26300
25-03-2015,49.21,26480
26-03-2015,51.43,26780
27-03-2015,48.87,26553
30-03-2015,48.68,26421
31-03-2015,47.6,26220
01-04-2015,50.09,26480
02-04-2015,49.14,26454
06-04-2015,52.14,27030
07-04-2015,53.98,26875
08-04-2015,50.42,26716
09-04-2015,50.79,26534
10-04-2015,51.64,26734
13-04-2015,51.91,26701
14-04-2015,53.29,26535
15-04-2015,56.39,26714
16-04-2015,56.71,26633
17-04-2015,55.74,26820
20-04-2015,56.38,26856
21-04-2015,55.26,26938
22-04-2015,56.16,26663
23-04-2015,57.74,26833
24-04-2015,57.15,26687
27-04-2015,56.99,27110
28-04-2015,57.06,27170
29-04-2015,58.58,27219
30-04-2015,59.63,26724
01-05-2015,59.15,26629
04-05-2015,58.93,26874
05-05-2015,60.4,26900
06-05-2015,60.93,26920
07-05-2015,58.94,26928
08-05-2015,59.39,26884
11-05-2015,59.25,26849
12-05-2015,60.75,27154
13-05-2015,60.5,27514
14-05-2015,59.88,27452
15-05-2015,59.69,27465
18-05-2015,59.43,27634
19-05-2015,57.26,27278
20-05-2015,58.98,27261
21-05-2015,60.72,27125
22-05-2015,59.72,27095
26-05-2015,58.03,26917
27-05-2015,57.51,26880
28-05-2015,57.68,26844
29-05-2015,60.3,26848
01-06-2015,60.2,26761
02-06-2015,61.26,26833
03-06-2015,59.64,26750
04-06-2015,58,26621
05-06-2015,59.13,26729
08-06-2015,58.14,26771
09-06-2015,60.14,26841
10-06-2015,61.43,26979
11-06-2015,60.77,26897
12-06-2015,59.96,26895
15-06-2015,59.52,27016
16-06-2015,59.97,26969
17-06-2015,59.92,26836
18-06-2015,60.45,27167
19-06-2015,59.61,27060
22-06-2015,59.68,26706
23-06-2015,61.01,26607
24-06-2015,60.27,26526
25-06-2015,59.7,26493
26-06-2015,59.63,26513
29-06-2015,58.33,26705
30-06-2015,59.47,26534
01-07-2015,56.96,26450
02-07-2015,56.93,26212
06-07-2015,52.53,26340
07-07-2015,52.33,26035
08-07-2015,51.65,26220
09-07-2015,52.78,26077
10-07-2015,52.74,26045
13-07-2015,52.2,26018
14-07-2015,53.04,25937
15-07-2015,51.41,25833
16-07-2015,50.91,25761
17-07-2015,50.89,25506
20-07-2015,50.15,25039
21-07-2015,50.36,24943
22-07-2015,49.19,24677
23-07-2015,48.45,24777
24-07-2015,48.14,24702
27-07-2015,47.39,24894
28-07-2015,47.98,24752
29-07-2015,48.79,24720
30-07-2015,48.52,24746
31-07-2015,47.12,24770
03-08-2015,45.17,24730
04-08-2015,45.74,24680
05-08-2015,45.15,24712
06-08-2015,44.66,24823
07-08-2015,43.87,24885
10-08-2015,44.96,25121
11-08-2015,43.08,25419
12-08-2015,43.3,25993
13-08-2015,42.23,25919
14-08-2015,42.5,25794
17-08-2015,41.87,26032
18-08-2015,42.62,25992
19-08-2015,40.8,26165
20-08-2015,41.14,26853
21-08-2015,40.45,27284
24-08-2015,38.24,27471
25-08-2015,39.31,26732
26-08-2015,38.6,26369
27-08-2015,42.56,26318
28-08-2015,45.22,26625
31-08-2015,49.2,26703
01-09-2015,45.41,26842
02-09-2015,46.25,26652
03-09-2015,46.75,26372
04-09-2015,46.05,26549
08-09-2015,45.94,26452
09-09-2015,44.15,26010
10-09-2015,45.92,26154
11-09-2015,44.63,25997
14-09-2015,44,26068
15-09-2015,44.59,25984
16-09-2015,47.15,26345
17-09-2015,46.9,26179
18-09-2015,44.68,26470
21-09-2015,46.68,26372
22-09-2015,45.83,26204
23-09-2015,44.48,26469
24-09-2015,44.91,26972
25-09-2015,45.7,26735
28-09-2015,44.43,26499
29-09-2015,45.23,26263
30-09-2015,45.09,25865
01-10-2015,44.74,25776
02-10-2015,45.54,25800
05-10-2015,46.26,26338
06-10-2015,48.53,26622
07-10-2015,47.81,26467
08-10-2015,49.43,26432
09-10-2015,49.63,26621
13-10-2015,46.66,26984
14-10-2015,46.64,27159
15-10-2015,46.38,27265
16-10-2015,47.26,27137
19-10-2015,45.89,27010
20-10-2015,45.55,27123
21-10-2015,45.2,26960
