"Day","Country","News","Actual","Projection","Previous","Volatilty"
"Thursday, December 17, 2015","United States ","FOMC Economic Projections","No Data","No Data","No Data","High Volatility Expected"
"Thursday, December 17, 2015","United States ","FOMC Statement","No Data","No Data","No Data","High Volatility Expected"
"Thursday, December 17, 2015","United States ","Fed Interest Rate Decision","No Data","0.50%","0.25%","High Volatility Expected"
"Thursday, December 17, 2015","United States ","Fed Chair Yellen Speaks","No Data","No Data","No Data","High Volatility Expected"
"Thursday, December 17, 2015","New Zealand ","GDP (QoQ)  (Q3)","No Data","0.8%","0.4%","High Volatility Expected"
"Thursday, December 17, 2015","New Zealand ","GDP (YoY)  (Q3)","No Data","2.3%","2.4%","Low Volatility Expected"
"Thursday, December 17, 2015","New Zealand ","GDP Annual Average  (Q3)","No Data","2.7%","3.0%","Low Volatility Expected"
"Thursday, December 17, 2015","New Zealand ","GDP Expenditure (QoQ)  (Q3)","No Data","0.8%","0.2%","Low Volatility Expected"
"Thursday, December 17, 2015","Japan ","Adjusted Trade Balance","No Data","-0.21T","-0.20T","Moderate Volatility Expected"
"Thursday, December 17, 2015","Japan ","Exports (YoY)  (Nov)","No Data","-1.5%","-2.1%","Moderate Volatility Expected"
"Thursday, December 17, 2015","Japan ","Foreign Bonds Buying","No Data","No Data","73.1B","Low Volatility Expected"
"Thursday, December 17, 2015","Japan ","Foreign Investments in Japanese Stocks","No Data","No Data","104.6B","Low Volatility Expected"
"Thursday, December 17, 2015","Japan ","Imports (YoY)  (Nov)","No Data","-8.3%","-13.4%","Low Volatility Expected"
"Thursday, December 17, 2015","Japan ","Trade Balance  (Nov)","No Data","-446B","112B","Moderate Volatility Expected"
"Thursday, December 17, 2015","Australia ","RBA Bulletin","No Data","No Data","No Data","Low Volatility Expected"
"Thursday, December 17, 2015","Singapore ","Non-Oil Exports (YoY)  (Nov)","No Data","1.60%","-0.50%","Low Volatility Expected"
"Thursday, December 17, 2015","Singapore ","Non-Oil Exports (MoM)  (Nov)","No Data","-0.20%","1.10%","Low Volatility Expected"
"Thursday, December 17, 2015","Singapore ","Trade Balance","No Data","No Data","7.920B","Low Volatility Expected"
"Thursday, December 17, 2015","Hong Kong ","Unemployment Rate  (Nov)","No Data","3.3%","3.3%","Low Volatility Expected"
"Thursday, December 17, 2015","Italy ","Italian Trade Balance  (Oct)","No Data","2.870B","2.186B","Low Volatility Expected"
"Thursday, December 17, 2015","Italy ","Italian Trade Balance EU  (Oct)","No Data","No Data","0.76B","Low Volatility Expected"
"Thursday, December 17, 2015","Germany ","German Business Expectations  (Dec)","No Data","105.0","104.7","Moderate Volatility Expected"
"Thursday, December 17, 2015","Germany ","German Current Assessment  (Dec)","No Data","113.4","113.4","Moderate Volatility Expected"
"Thursday, December 17, 2015","Germany ","German Ifo Business Climate Index  (Dec)","No Data","109.1","109.0","High Volatility Expected"
"Thursday, December 17, 2015","Euro Zone ","ECB Economic Bulletin","No Data","No Data","No Data","Moderate Volatility Expected"
"Thursday, December 17, 2015","United Kingdom ","Core Retail Sales (YoY)  (Nov)","No Data","2.3%","3.0%","Moderate Volatility Expected"
"Thursday, December 17, 2015","United Kingdom ","Core Retail Sales (MoM)  (Nov)","No Data","0.6%","-0.9%","Moderate Volatility Expected"
"Thursday, December 17, 2015","United Kingdom ","Retail Sales (YoY)  (Nov)","No Data","3.0%","3.8%","Moderate Volatility Expected"
"Thursday, December 17, 2015","United Kingdom ","Retail Sales (MoM)  (Nov)","No Data","0.5%","-0.6%","High Volatility Expected"
"Thursday, December 17, 2015","South Africa ","PPI (YoY)  (Nov)","No Data","4.5%","4.2%","Low Volatility Expected"
