"Date","Nifty","Sensex"
2010-11-26,5751.95,19136.61
2010-11-29,5830,19405.1
2010-11-30,5862.7,19521.25
2010-12-01,5960.9,19850
2010-12-02,6011.7,19992.7
2010-12-03,5992.8,19966.93
2010-12-06,5992.25,19981.31
2010-12-07,5976.55,19934.64
2010-12-08,5903.7,19696.48
2010-12-09,5766.5,19242.36
2010-12-10,5857.35,19508.89
2010-12-13,5907.65,19691.78
2010-12-14,5944.1,19799.19
2010-12-15,5892.3,19647.77
2010-12-16,5948.75,19864.85
2010-12-20,5947.05,19888.88
2010-12-21,6000.65,20060.32
2010-12-22,5984.4,20015.8
2010-12-23,5980,19982.88
2010-12-24,6011.6,20073.66
2010-12-27,5998.1,20028.93
2010-12-28,5996,20025.42
2010-12-29,6060.35,20256.03
2010-12-30,6101.85,20389.07
2010-12-31,6134.5,20509.09
2011-01-03,6157.6,20561.05
2011-01-04,6146.35,20498.72
2011-01-05,6079.8,20301.1
2011-01-06,6048.25,20184.74
2011-01-07,5904.6,19691.81
2011-01-10,5762.85,19224.12
2011-01-11,5754.1,19196.34
2011-01-12,5863.25,19534.1
2011-01-13,5751.9,19182.82
2011-01-14,5654.55,18860.44
2011-01-17,5654.75,18882.25
2011-01-18,5724.05,19092.05
2011-01-19,5691.05,18978.32
2011-01-20,5711.6,19046.54
2011-01-21,5696.5,19007.53
2011-01-24,5743.25,19151.28
2011-01-25,5687.4,18969.45
2011-01-27,5604.3,18684.43
2011-01-28,5512.15,18395.97
2011-01-31,5505.9,18327.76
2011-02-01,5417.2,18022.22
2011-02-02,5432,18090.62
2011-02-03,5526.75,18449.31
2011-02-04,5395.75,18008.15
2011-02-07,5396,18037.19
2011-02-08,5312.55,17775.7
2011-02-09,5253.55,17592.77
2011-02-10,5225.8,17463.04
2011-02-11,5310,17728.61
2011-02-14,5456,18202.2
2011-02-15,5481,18273.8
2011-02-16,5481.7,18300.9
2011-02-17,5546.45,18506.82
2011-02-18,5458.95,18211.52
2011-02-21,5518.6,18438.31
2011-02-22,5469.2,18296.16
2011-02-23,5437.35,18178.33
2011-02-24,5262.7,17632.41
2011-02-25,5303.55,17700.91
2011-02-28,5333.25,17823.4
2011-03-01,5522.3,18446.5
