"","Date","Data","Date","Prices"
"30",2015-01-02,26770,2015-01-02,55.38
"27",2015-01-05,26950,2015-01-05,51.08
"26",2015-01-06,27370,2015-01-06,50.12
"25",2015-01-07,27177,2015-01-07,49.06
"24",2015-01-08,26852,2015-01-08,49.43
"23",2015-01-09,26790,2015-01-09,47.64
"20",2015-01-12,26960,2015-01-12,46.9
"19",2015-01-13,27095,2015-01-13,45.13
"18",2015-01-14,27171,2015-01-14,45.82
"17",2015-01-15,27455,2015-01-15,47.66
"16",2015-01-16,27725,2015-01-16,47.38
"12",2015-01-20,28045,2015-01-20,46.49
"11",2015-01-21,27993,2015-01-21,46.5
"10",2015-01-22,28054,2015-01-22,46.09
"9",2015-01-23,27875,2015-01-23,46.69
"6",2015-01-26,27895,2015-01-26,46.07
"5",2015-01-27,27926,2015-01-27,46.55
"4",2015-01-28,27798,2015-01-28,47.07
"3",2015-01-29,27545,2015-01-29,46.61
"2",2015-01-30,27936,2015-01-30,47.52
"58",2015-02-02,27790,2015-02-02,51.74
"57",2015-02-03,27460,2015-02-03,54.41
"56",2015-02-04,27720,2015-02-04,55.07
"55",2015-02-05,27281,2015-02-05,55.98
"54",2015-02-06,26766,2015-02-06,55.88
"51",2015-02-09,26823,2015-02-09,57
"50",2015-02-10,26860,2015-02-10,55.79
"49",2015-02-11,26676,2015-02-11,53.48
"48",2015-02-12,26553,2015-02-12,56.23
"47",2015-02-13,26730,2015-02-13,60.33
"44",2015-02-16,26751,2015-02-16,61.57
"43",2015-02-17,26205,2015-02-17,60.78
"42",2015-02-18,26097,2015-02-18,60.72
"41",2015-02-19,26300,2015-02-19,58.78
"40",2015-02-20,26280,2015-02-20,60.99
"37",2015-02-23,26207,2015-02-23,59.78
"36",2015-02-24,26050,2015-02-24,60.33
"35",2015-02-25,26178,2015-02-25,59.77
"34",2015-02-26,26219,2015-02-26,61.39
"33",2015-02-27,26279,2015-02-27,61.89
"89",2015-03-02,26538,2015-03-02,60.75
"88",2015-03-03,26407,2015-03-03,61.18
"87",2015-03-04,26527,2015-03-04,59.18
"86",2015-03-05,26545,2015-03-05,60.33
"85",2015-03-06,26158,2015-03-06,59.15
"82",2015-03-09,26023,2015-03-09,58.67
"81",2015-03-10,25898,2015-03-10,55.95
"80",2015-03-11,25729,2015-03-11,56.46
"79",2015-03-12,25600,2015-03-12,56.66
"78",2015-03-13,25837,2015-03-13,54.8
"75",2015-03-16,25740,2015-03-16,52
"74",2015-03-17,25603,2015-03-17,52.17
"73",2015-03-18,25627,2015-03-18,52.59
"72",2015-03-19,25951,2015-03-19,52.96
"71",2015-03-20,26185,2015-03-20,53.88
"68",2015-03-23,26175,2015-03-23,53.82
"67",2015-03-24,26300,2015-03-24,53.61
"66",2015-03-25,26480,2015-03-25,54.18
"65",2015-03-26,26780,2015-03-26,57.02
"64",2015-03-27,26553,2015-03-27,56.44
"61",2015-03-30,26421,2015-03-30,53.99
"60",2015-03-31,26220,2015-03-31,53.69
"120",2015-04-01,26480,2015-04-01,55.73
"119",2015-04-02,26454,2015-04-02,55.73
"115",2015-04-06,27030,2015-04-06,55.73
"114",2015-04-07,26875,2015-04-07,57.55
"113",2015-04-08,26716,2015-04-08,56.42
"112",2015-04-09,26534,2015-04-09,56.04
"111",2015-04-10,26734,2015-04-10,56.82
"108",2015-04-13,26701,2015-04-13,57.14
"107",2015-04-14,26535,2015-04-14,57.69
"106",2015-04-15,26714,2015-04-15,59.32
"105",2015-04-16,26633,2015-04-16,60.13
"104",2015-04-17,26820,2015-04-17,61.31
